England : wales 0.6,scotland 0.5,english_people 0.49,cardiff 0.48,english_midlands 0.48,welsh_language 0.47,mandarin 0.46,gaelic_scots 0.46,yorkshire 0.45,mandarin_dialects 0.45,welsh_english 0.44,southern_england 0.44,british_english 0.44,netherlands_national_football_team 0.44,great_britain 0.43,west_country 0.43,manchester_united_kingdom 0.43,standard_cantonese 0.42,english 0.42,american_english 0.42
Jack_Kirby : stan_lee 0.68,steve_ditko 0.68,john_romita_sr 0.66,marvel_comics 0.65,john_buscema 0.63,don_heck 0.62,kirby_award 0.61,dc_comics 0.61,fantastic_four 0.6,larry_lieber 0.6,jim_steranko 0.6,neal_adams 0.6,walt_simonson 0.59,carmine_infantino 0.59,joe_simon 0.59,x-men 0.58,the_golden_age 0.58,silver_age_of_comic_books 0.58,daredevil 0.58,marvel_universe 0.57
Multiple-camera_setup : afis_100_years_100_cheers 0.46,chris_rock_kill_the_messenger 0.45,art_director 0.43,emmy_award_for_main_title_design 0.42,primetime_emmy_award_for_outstanding_directing_for_a_drama_series 0.41,pole 0.4,re_recording_mixer 0.39,single 0.39,single-camera_setup 0.39,primetime_emmy_award_for_outstanding_reality-competition_program 0.39,television_comedy 0.39,primetime_emmy_award_for_outstanding_drama_series 0.39,bury_my_heart_at_wounded_knee 0.38,primetime_emmy_award_for_outstanding_miniseries 0.38,special_effect 0.38,law_of_gravity 0.37,primetime_emmy_award_for_individual_performance_in_a_variety_or_music_program 0.37,primetime_emmy_award_for_outstanding_comedy_series 0.36,engineering_an_empire 0.36,bt_gd8 0.36
Private_university : national_university 0.45,higher_education 0.44,postgraduate_education 0.41,academia 0.4,deemed_university 0.4,uppsala_general_catalogue 0.39,university_grants_commission 0.39,distance_education 0.38,tertiary_education 0.38,central_university_union_university_india 0.38,the_princeton_review 0.37,u_s_news_world_report 0.37,open_door_academic_policy 0.37,all_india_council_for_technical_education 0.37,uttar_pradesh_technical_university 0.36,malaysian_qualifications_agency 0.36,national_union_catalog 0.36,british_accreditation_council 0.35,anna_university_tirunelveli 0.35,engineering_college 0.35
Roccasecca : tiburtina 0.46,piazza_vittorio_emanuele_ii 0.45,begunkodor 0.45,villada 0.44,zoufftgen 0.44,cassino 0.44,aprilia_italy 0.43,roma_termini_station 0.43,torino_porta_nuova_railway_station 0.43,sainte_genevieve_des_bois_essonne 0.42,chinchilla_de_monte_aragon 0.41,quievrain 0.41,santa_lucia_station 0.41,vermont_street 0.4,kolpur 0.4,sloterdijk 0.4,pollokshaws_west_railway_station 0.4,ulukisla 0.4,termini 0.4,malpensa_express 0.39
Denver_International_Airport : ohare_international_airport 0.6,phoenix_sky_harbor_international_airport 0.57,frontier_airlines 0.57,san_antonio_international_airport 0.56,colorado_springs_airport 0.56,salt_lake_city_international_airport 0.55,general_mitchell_international_airport 0.55,walker_field_airport 0.55,dallas-fort_worth_international_airport 0.55,albuquerque_international_sunport 0.55,denver 0.55,durango-la_plata_county_airport 0.55,john_f_kennedy_airport 0.54,los_angeles_international_airport 0.54,philadelphia_international_airport 0.54,george_bush_intercontinental_airport 0.54,hartsfield-jackson_atlanta_international_airport 0.54,logan_international_airport 0.54,washington_dulles_international_airport 0.53,ronald_reagan_washington_national_airport 0.53
Science_communication : science_education 0.52,descartes_prize 0.5,6mq7 0.49,1lj9 0.48,mark_brake 0.47,physical_science 0.47,mathematics_education 0.47,philosophy_of_science 0.46,physics 0.46,royal_anthropological_institute_of_great_britain_and_ireland 0.46,environmental_science 0.46,natural_science 0.45,earth_science 0.45,tebello_nyokong 0.45,science_journalism 0.45,cultural_studies 0.45,applied_mathematics 0.45,cognitive_science 0.44,computer_science 0.44,operations_research 0.44
Joel_Kovel : noam_chomsky 0.5,ilan_pappe 0.49,norman_finkelstein 0.49,neve_gordon 0.47,university_of_michigan_press 0.47,bertell_ollman 0.46,joseph_massad 0.46,judith_butler 0.46,the_holocaust_industry 0.45,by0221 0.45,yehouda_shenhav 0.45,john_mearsheimer 0.45,tanya_reinhart 0.45,the_case_for_peace 0.44,the_israel_lobby_and_us_foreign_policy 0.44,ghada_karmi 0.44,m_shahid_alam 0.44,allegations_of_israeli_apartheid 0.44,omar_barghouti 0.43,john_rose 0.43
Australian_dollar : new_zealand_dollar 0.86,canadian_dollar 0.75,japanese_yen 0.73,us 0.71,united_states_greenback_party 0.71,uk 0.7,swiss_franc 0.68,euro 0.64,dollar 0.63,south_korean_won 0.63,greater_swiss_mountain_dog 0.62,richard_grace 0.61,antipodeans_group 0.61,singapore_dollar 0.59,loonie 0.57,indian_rupee 0.57,group_of_ten 0.55,richard_driver 0.55,us_dollar_index 0.55,czk 0.55
Nancy_Chodorow : carol_gilligan 0.4,a_vindication_of_the_rights_of_woman 0.37,betty_friedan 0.37,sexual_politics 0.37,stuart_elizabeth_phelps 0.36,h3mq5b 0.36,ann_oakley 0.36,sandra_gilbert 0.36,harold_monro 0.36,karen_horney 0.35,monique_wittig 0.35,in_a_different_voice 0.35,the_madwoman_in_the_attic 0.35,louise_j_kaplan 0.35,brigid_brophy 0.35,dusklands 0.34,the_fountain_of_age 0.34,the_feminine_mystique 0.34,honore_willsie 0.34,andrea_dworkin 0.34
Tom_Cherones : newsradio_season_5 0.55,bradley_buecker 0.46,alan_armer 0.44,gail_mancuso 0.43,2z41tk 0.43,tristram_shapeero 0.43,clark_mathis 0.42,h342mq 0.42,bryan_gordon 0.41,charles_mcdougall 0.41,brian_k_roberts 0.41,cmd5dv 0.41,norman_abbott 0.41,stu_pollard 0.41,donovan_cook 0.41,9jzqhf 0.4,citizen_baines 0.4,fred_j_koenekamp 0.4,tucker_gates 0.4,the_hoop_life 0.4
Mogi_das_Cruzes : f6b1p 0.59,indaiatuba 0.58,minas_gerais 0.57,sao_bernardo_do_campo 0.56,greater_sao_paulo 0.56,ribeirao_preto 0.56,canoas 0.56,associacao_desportiva_sao_caetano 0.55,piracicaba 0.55,maua 0.55,diadema 0.55,jacarei 0.55,limeira 0.55,parana 0.54,1hd58 0.54,salto_brazil 0.54,sorocaba 0.53,jundiai 0.53,campinas 0.53,simoes_filho 0.53
Prime_Minister_of_Australia : prime_minister 0.43,kevin_rudd 0.43,john_howard 0.42,julia_gillard 0.4,asia_pacific_community 0.4,lee_hsien_loong 0.38,alexander_downer 0.38,simon_crean 0.37,state_visit 0.37,governor-general 0.37,edmund_barton 0.36,sellapan_ramanathan 0.36,premier_of_the_peoples_republic_of_china 0.36,j6jr3k 0.36,malcolm_fraser 0.36,minister_for_defence 0.36,prime_minister_of_new_zealand 0.36,japan_korea_parliamentarians_union 0.35,parliament_house_canberra 0.35,asia-pacific_economic_cooperation 0.35
Networking_hardware : carrier_grade_linux 0.46,computer_hardware 0.46,scope_alliance 0.38,vxworks 0.37,embedded_system 0.37,advanced_telecommunications_computing_architecture 0.36,wind_river_systems 0.36,kontron 0.36,structured_cabling 0.35,system 0.35,wireless 0.35,wireless_network 0.35,workgroup 0.34,test_automation 0.34,in-circuit_emulator 0.34,sun_netra 0.34,continuous_computing 0.34,2x0k_h 0.34,network_monitoring 0.34,vertical_market 0.34
Ken_Jeong : ed_helms 0.63,zach_galifianakis 0.62,justin_bartha 0.56,bradley_cooper 0.56,todd_phillips 0.55,joel_mchale 0.54,rob_corddry 0.53,steve_carell 0.52,jonah_hill 0.52,the_hangover_2 0.51,aziz_ansari 0.51,bryan_callen 0.51,gillian_jacobs 0.51,alan_tudyk 0.5,paul_rudd 0.5,craig_robinson 0.5,heather_graham 0.5,bill_hader 0.5,seth_rogen 0.5,alison_brie 0.49
National_language : urdu 0.51,hindi 0.5,malay_language 0.49,tamil_language 0.49,hindustani_language 0.48,sinhala_only_act 0.48,sindhi_language 0.48,mother_tongue 0.46,language_policy 0.46,first_language 0.45,bengali_language 0.44,sri_lankan_english 0.44,dravidian_languages 0.44,gojri 0.44,standard_english 0.44,sinhalese_people 0.44,marathi_language 0.43,manglish 0.43,dzongkha_language 0.42,panjabi_eastern 0.42
Maimonides : mishneh_torah 0.7,talmud 0.7,nahmanides 0.69,torah 0.66,guide_for_the_perplexed 0.66,yehuda_halevi 0.64,shulchan_aruch 0.63,midrash 0.63,samson_raphael_hirsch 0.62,halakha 0.62,rabbi_akiva 0.62,jerusalem_talmud 0.62,abraham_isaac_kook 0.61,oral_law 0.61,mishnah 0.61,judaism 0.59,chaim_ibn_attar 0.59,yosef_karo 0.59,tosafot 0.59,rashi 0.59
High_school : middle_school 0.65,elementary_school 0.57,catholic_school 0.49,journal_of_hellenic_studies 0.48,26g5lm 0.48,dlw8c 0.48,lakewood_high_school 0.47,7c9bl 0.47,secondary_school 0.47,junior_college 0.46,johnston_high_school 0.46,community_college 0.46,laurel_high_school 0.46,27bkt9 0.46,westside_high_school 0.45,midway_high_school 0.45,northview_high_school 0.45,seneca_high_school 0.45,2qy41p 0.45,edgewood_high_school 0.44
James_Wood_Johnson : 4zw3_f 0.52,winnie_johnson_marquart 0.34,william_b_ziff_jr 0.33,6w2hbr 0.33,robert_wood_johnson_i 0.33,arthur_birch 0.31,josiah_k_lilly_sr 0.31,mary_lea_johnson_richards 0.31,3hny2y 0.31,vienna_township_illinois 0.3,hgr5fy 0.3,waka_texas 0.3,josiah_k_lilly_jr 0.29,james_iii_of_cyprus 0.29,redding_iowa 0.29,maria_obrien 0.29,virginia_sorenson 0.29,debora_greger 0.29,lisa_connor 0.29,william_amherst_vanderbilt_cecil 0.29
Warren_Buffett : berkshire_hathaway 0.86,charlie_munger 0.72,buffet 0.65,brk 0.64,david_l_sokol 0.62,ajit_jain 0.55,li_lu 0.54,andrew_kilpatrick 0.54,bill_gates 0.52,c3vxd1 0.52,lubrizol 0.52,rebecca_quick 0.52,ds4nrq 0.5,alice_schroeder 0.47,mohnish_pabrai 0.47,burlington_northern_santa_fe_corporation 0.47,wesco_financial 0.47,howard_buffett 0.46,george_soros 0.46,john_paulson 0.46
Constitutional_monarchy : australians_for_constitutional_monarchy 0.62,david_flint 0.57,australian_republican_movement 0.52,westminster_system 0.5,monarchy_in_australia 0.49,crowned_republic 0.47,constitution_of_the_united_kingdom 0.46,kerry_jones 0.45,constitution_of_australia 0.45,monarchism 0.44,australian_monarchist_league 0.43,constitution_of_fiji 0.43,australia_act_1986 0.42,presidential_system 0.42,republican_movement_of_aotearoa_new_zealand 0.42,commonwealth_realm 0.41,act_of_settlement_1701 0.41,parliament_of_scotland 0.41,gmf_1z 0.4,lewis_holden 0.4
Amr_Diab : elissa 0.66,nancy_ajram 0.6,ragheb_alama 0.59,najwa_karam 0.59,angham_mohammad_ali_suleiman 0.59,fadl_shaker 0.58,myriam_fares 0.58,latifa 0.56,hani_shaker 0.55,fares_karam 0.55,carole_samaha 0.54,tamer_hosni 0.53,amal_hijazi 0.53,marwan_khoury 0.52,464lv8 0.52,diana_haddad 0.52,melhem_zain 0.51,haifa_wehbe 0.51,5mt5gc 0.51,wael_jassar 0.5
Wilhelmus : the_brabanconne 0.41,indonesia_raya 0.39,advance_australia_fair 0.37,das_lied_der_deutschen 0.36,god_save_the_queen 0.36,nkosi_sikelel_iafrika 0.35,god_defend_new_zealand 0.35,du_gamla_du_fria 0.35,boze_pravde 0.34,la_marseillaise 0.34,the_hope 0.34,la_borinquena 0.34,god_save_the_tsar 0.34,oben_am_jungen_rhein 0.34,die_stem_van_suid-afrika 0.33,el_himno_de_riego 0.33,the_star-spangled_banner 0.33,himnusz 0.33,il_canto_degli_italiani 0.33,ja_vi_elsker_dette_landet 0.33
Chairman : board_of_directors 0.64,chief_executive_officer 0.64,chief_operating_officer 0.62,chief_financial_officer 0.61,entrepreneur 0.58,non-executive_director 0.55,audit_committee 0.55,trevor_turbidy 0.54,advisory_board 0.54,3dzp46 0.54,treasurer 0.53,executive_compensation 0.53,charles_blackburn 0.53,chief_administrative_officer 0.53,film_director 0.52,chairman_of_the_board 0.52,david_d_stevens 0.52,alfred_altomari 0.51,senior_advisor 0.51,chicos_fas_inc 0.51
Parliament_of_Sri_Lanka : tamil_national_alliance 0.67,r_sampanthan 0.66,chamal_rajapaksa 0.66,mahinda_rajapaksa 0.65,ranil_wickremasinghe 0.64,sri_lanka_freedom_party 0.61,chandrika_kumaratunga 0.61,mangala_samaraweera 0.61,s_senathirajah 0.6,jathika_hela_urumaya 0.6,united_national_party 0.6,tamil_united_liberation_front 0.6,lakshman_kiriella 0.6,junius_richard_jayewardene 0.59,janatha_vimukthi_peramuna 0.59,chandima_weerakkody 0.59,illankai_tamil_arasu_kachchi 0.59,amirthanathan_adaikalanathan 0.58,ratnasiri_wickremanayake 0.58,cabinet_of_sri_lanka 0.58
Avignon : marseille 0.55,nantes 0.54,bordeaux 0.53,arles 0.52,paris 0.52,provence 0.51,aix-en-provence 0.51,carcassonne 0.51,nimes 0.51,southern_france 0.5,france 0.49,chalon-sur-saone 0.49,loire_valley 0.49,grenoble 0.48,rouen 0.48,poitiers 0.48,beziers 0.47,tournon_sur_rhone 0.47,montpellier 0.47,lyon 0.47
Greater_Manchester : tameside 0.79,west_midlands 0.79,stockport 0.78,rochdale 0.77,bury 0.76,city_of_salford 0.74,west_yorkshire 0.74,lancashire 0.73,bradford 0.72,wigan 0.72,metropolitan_borough_of_bury 0.71,manchester_city_centre 0.71,salford 0.7,wythenshawe 0.7,south_yorkshire 0.7,thames_valley 0.7,warrington 0.69,leeds 0.68,ashton-under-lyne 0.67,metropolitan_borough_of_wigan 0.67
Paramount_Pictures : warner_bros 0.83,20th_century_fox 0.82,universal_studios 0.81,dreamworks 0.81,sony_pictures_entertainment 0.76,buena_vista_motion_pictures_group 0.72,new_line_cinema 0.71,lions_gate_entertainment 0.71,columbia_pictures 0.7,paramount_vantage 0.68,dreamworks_animation 0.67,metro-goldwyn-mayer 0.67,the_weinstein_company 0.66,focus_features 0.65,relativity_media 0.63,walt_disney_pictures 0.63,summit_entertainment 0.63,mtv_films 0.63,fox_searchlight_pictures 0.63,paramount_home_entertainment 0.63
Gladys_Carrion : edward_borges 0.58,brian_fischer 0.46,omrdd 0.43,crc0m2 0.39,new_york_state_department_of_correctional_services 0.38,joette_katz 0.37,richard_p_mills 0.36,9g9526 0.36,texas_youth_commission 0.36,ch2wxq 0.36,distributed_coordination_function 0.36,child_protective_services 0.35,carl_danberg 0.35,tryon_county_new_york 0.34,department_of_human_services 0.34,denise_odonnell 0.33,department_of_youth_rehabilitation_services 0.33,sentani_airport 0.33,richard_f_daines 0.33,corrections 0.33
Andrew_Scheinman : wendelin_van_draanen 0.61,alan_greisman 0.53,chris_terrio 0.41,flipped 0.41,justin_zackham 0.4,william_goldman 0.39,aline_brosh_mckenna 0.39,david_l_paterson 0.39,brian_patrick_otoole 0.39,the_liar 0.39,helen_cross 0.39,jeffery_price 0.39,richard_lagravenese 0.39,scott_sommer 0.38,fred_parnes 0.38,h1s4vs 0.38,david_scearce 0.38,rob_reiner 0.38,wendell_mayes 0.38,steven_rogers 0.38
North_Colonie_Central_Schools : life_scholarship 0.33,craig_wederquist 0.32,muskegon_heights_school_district 0.32,48076f 0.32,c_t_walker_traditional_magnet_school 0.31,oskaloosa_community_school_district 0.31,oakdale_joint_unified_school_distict 0.31,don_vicente_rama_memorial_national_high_school 0.31,hirsch_elementary_school 0.31,webb_bridge_middle_school 0.31,frost_independent_school_district 0.31,teaching_fellow 0.31,public_education 0.31,miles_independent_school_district 0.31,south_redford_school_district 0.31,761wv0 0.3,escanaba_area_public_schools 0.3,ross_beatty_junior_senior_high_school 0.3,university_of_minnesota_talented_youth_math_program 0.3,bellflower_unified_school_district 0.3
High-definition_television : high-definition_video 0.79,standard-definition_television 0.72,1080p 0.69,hd_ready 0.63,3d_episode 0.63,enhanced-definition_television 0.62,480p 0.61,digital_video_recorder 0.59,true_cinema_movement 0.58,tivo_hd 0.58,l_ve_tv 0.57,1080i 0.57,high-definition_multimedia_interface 0.57,ntsc 0.56,motorola_3412 0.56,blu-ray_disc 0.56,sky_hd 0.55,progressive_scan 0.54,picture-in-picture 0.54,freeview 0.54
Song_Min-soon : yu_myung_hwan 0.71,kim_kye_gwan 0.69,christopher_r_hill 0.69,gfgz3k 0.69,wu_dawei 0.68,lee_jae_joung 0.63,yoon_young_kwan 0.62,north_korea 0.6,lee_jong-seok 0.6,pyongyang 0.6,pak_ui_chun 0.59,stephen_w_bosworth 0.59,alexander_losyukov 0.59,six-party_talks 0.59,kim_jang_soo 0.58,kim_sung_hwan 0.58,hirofumi_nakasone 0.58,cho_tae-yong 0.58,gfh141 0.57,gvrhvz 0.57
CD_single : drug_control_law 0.41,compact_disc 0.37,centre_de_donnees_astronomiques_de_strasbourg 0.33,stephen_a_love 0.32,methylenedioxymethamphetamine 0.31,2r3vpt 0.3,marihuana 0.3,joseph_boateng_danquah 0.29,heroin 0.29,40c1vk 0.28,methamphetamine 0.28,apocynum_cannabinum 0.28,brownwood_missouri 0.28,joseph_paul 0.28,alprazolam 0.28,clonazepam 0.28,drug_paraphernalia 0.27,buprenorphine 0.27,opiate 0.27,fq2zl2 0.27
Texas_Stadium : dallas_cowboys 0.73,new_cowboys_stadium 0.65,cowboy 0.61,tony_romo 0.6,jerry_jones 0.59,nfc_east 0.58,nfl_films_the_dallas_cowboys 0.58,cowboys-redskins_rivalry 0.57,new_york_giants 0.56,valley_ranch_in_irving_texas 0.55,lambeau_field 0.54,giants_stadium 0.54,super_bowl 0.52,super_bowl_xlv 0.52,cowboy_stadium 0.52,nfc_championship_game 0.51,thanksgiving_classic 0.51,lincoln_financial_field 0.5,washington_redskins 0.5,wade_phillips 0.49
John_Ames_Mitchell : charles_brockden_brown 0.45,anna_katharine_green 0.44,ficciones 0.43,the_raven_1915 0.43,charlotte_mew 0.43,sigizmund_krzhizhanovsky 0.43,william_gerhardie 0.43,c91pl 0.42,tales_of_the_grotesque_and_arabesque 0.42,l_sprague_de_camp 0.42,changing_new_york 0.42,burtons_magazine 0.42,alexander_william_kinglake 0.42,fredric_brown 0.41,nicholas_shakespeare 0.41,george_lippard 0.41,fritz_leiber 0.41,raymond_radiguet 0.41,joris-karl_huysmans 0.41,william_hope_hodgson 0.41
Michael_Richards : the_laugh_factory 0.6,paul_mooney 0.5,seinfeld 0.49,jerry_seinfeld 0.47,tracy_morgan 0.46,the_michael_richards_show 0.43,dave_chappelle 0.42,larry_david 0.41,cosmo_kramer 0.41,jason_alexander 0.4,isaiah_washington 0.4,jackie_mason 0.4,don_imus 0.4,richard_pryor 0.39,charlie_sheen 0.39,mel_gibson 0.39,george_costanza 0.39,bill_cosby 0.39,al_sharpton 0.39,jon_lovitz 0.38
Chief_operating_officer : chief_financial_officer 0.76,vice_president 0.64,chief_technical_officer 0.63,chairman 0.62,corporate_development 0.61,business_development 0.6,chief_executive_officer 0.58,chief_marketing_officer 0.56,vp_records 0.56,chief_administrative_officer 0.55,executive_vice_president 0.55,country_of_origin 0.54,entrepreneur 0.51,marketing 0.51,global_marketing 0.5,co_chief_executive_officer 0.49,swiss_peoples_party 0.49,international_operations 0.49,film_director 0.49,senior_vp 0.48
Gilles_Deleuze : felix_guattari 0.75,jacques_derrida 0.71,michel_foucault 0.7,jean_lyotard 0.66,jean_baudrillard 0.65,alain_badiou 0.64,roland_barthes 0.64,louis_althusser 0.63,jacques_lacan 0.63,julia_kristeva 0.62,jacques_ranciere 0.62,a_thousand_plateaus 0.61,giorgio_agamben 0.61,walter_benjamin 0.61,martin_heidegger 0.61,maurice_merleau-ponty 0.6,georges_bataille 0.6,hans-georg_gadamer 0.59,henri_bergson 0.59,paul_ricoeur 0.59
Jeffrey_Reddick : final_destination 0.56,eric_heisserer 0.56,steve_miner 0.55,don_mancini 0.52,day_of_the_dead_2007 0.52,glen_morgan 0.52,stephen_susco 0.52,tony_giglio 0.51,todd_farmer 0.51,the_forsaken 0.51,wesley_strick 0.5,david_j_schow 0.5,matt_venne 0.5,eric_red 0.5,bryan_bertino 0.5,mick_garris 0.49,rob_schmidt 0.49,don_coscarelli 0.49,matthijs_van_heijningen_jr 0.49,marti_noxon 0.49
Jan_Eliasson : salim_ahmed_salim 0.83,jan_pronk 0.64,darfur 0.61,au_zurich 0.61,rodolphe_adada 0.6,andrew_natsios 0.58,kofi_annan 0.58,ban 0.58,alpha_oumar_konare 0.58,jean-marie_guehenno 0.57,north_darfur 0.57,ashraf_qazi 0.56,west_darfur 0.56,sudan 0.56,african_union 0.56,haile_menkerios 0.56,francois_lonseny_fall 0.55,united_nations_african_union_mission_in_darfur 0.55,south_darfur 0.55,richard_s_williamson 0.55
New_York_City : maya_azucena 0.71,blue_note_records 0.41,ggz48 0.39,peoples_improv_theater 0.38,water_street_music_hall 0.34,chene_park 0.33,ontological-hysteric_theater 0.33,lenox_lounge 0.32,tides_of_man 0.32,thurisaz 0.32,j9mxp7 0.31,we_are_the_in_crowd 0.31,dakota_jazz_club 0.31,2q9c6s 0.31,st_andrews_hall 0.3,7th_street_entry 0.3,lavon_hardison 0.3,lawn_chair_society 0.3,bbw6fp 0.3,recess_christmas_miracle_on_third_street 0.3
Dionysius_the_Areopagite : pseudo-dionysius_the_areopagite 0.68,damaris 0.6,church_fathers 0.58,john_of_damascus 0.56,hans_urs_von_balthasar 0.55,gregory_of_nyssa 0.55,tertullian 0.54,meister_eckhart 0.54,clement_of_alexandria 0.54,hippolytus 0.54,julian_of_norwich 0.54,johannes_erigena 0.53,ebionites 0.53,apostolic_fathers 0.53,karl_rahner 0.53,symeon_the_new_theologian 0.53,desert_fathers 0.53,maximus_the_confessor 0.52,pauline_christianity 0.52,bernard_of_clairvaux 0.52
Scott_Rudin : michael_deluca 0.63,dana_brunetti 0.61,aaron_sorkin 0.59,cean_chaffin 0.59,david_fincher 0.57,steven_zaillian 0.56,rachael_horovitz 0.55,michael_london 0.54,the_social_network 0.54,brian_grazer 0.53,harvey_weinstein 0.53,graham_king 0.52,richard_n_gladstein 0.52,working_title_films 0.52,wendy_finerman 0.5,dan_jinks 0.5,steven_spielberg 0.5,eric_fellner 0.5,mandate_pictures 0.5,hbo_films 0.49
I_Believe_I_Can_Fly : ignition 0.61,trapped_in_the_closet 0.48,r_kelly 0.45,hair_braider 0.43,you_remind_me_of_something 0.41,step_in_the_name_of_love 0.41,sex_me 0.39,i_will_always_love_you 0.38,if_i_aint_got_you 0.38,luther_vandross 0.38,contemporary_r_b 0.37,i_dont_want_to_miss_a_thing 0.37,since_u_been_gone 0.37,when_a_womans_fed_up 0.37,anytime_you_need_a_friend 0.36,a_broken_wing 0.36,complicated 0.36,i_wanna_be_your_lover 0.36,killing_me_softly_with_his_song 0.36,one_more_try 0.36
